store,name,sales,price
彩虹色的蜻蜓,Apple/苹果iPhoneXR,2927,2128
华为莫问专卖店,Huawei/华为nova65G,377,3199
因尔科技,Apple/苹果iPhoneX,963,2100
zhongweixin8250,Apple/苹果iPhone8Plus4G,4504,2200
佳欣共创科技,Apple/苹果iPhone11ProMax,1974,4699
heatlinda,honor/荣耀V30Pro5Gv30,1135,2998
liubingtuan,Apple/苹果iPhoneXRiphonexr,3962,2780
深圳梦幻公主服饰,Apple/苹果iPhoneX,3679,3415
领域数码通讯,Apple/苹果iPhone11ProMax,1233,3565
新平通讯,Apple/苹果iPhoneXSMax,1776,3380
同步飞扬数码专营店,Huawei/华为nova65G,626,3199
潮流3号线,Apple/苹果iPhoneX,1560,2290
oppo平实专卖店,OPPORenoAceopporenoace,1264,2999
周宏亮,Apple/苹果iPhone11Pro,3438,3787
vivo衡视专卖店,vivoX30Pro5G,427,3998
俞小wen,Apple/苹果iPhoneX,3029,3350
tb9173203_00,Apple/苹果iPhone8Plus,4362,2000
翼天下天翼电信旗舰店,Apple/苹果iPhoneXR,31,4399
能良数码官方旗舰店,红米K30,1014,1599
vivo航鹰专卖店,vivoiQOONeo855,353,2198
ysdee9,Apple/苹果iPhoneXR,357,3430
adfkfilemon,Apple/苹果iPhone8Plus,4342,2130
wezebaba,honor/荣耀V30Pro5Gv30,1060,2998
vivo官方旗舰店,vivoX30Pro,3553,3998
vivo官方旗舰店,vivoNEX35G,1160,5698
京合旗舰店,honor/荣耀20,2256,1099
玩风数码专营店,红米,20,539
苏宁易购官方旗舰店,Apple/苹果iPhone11,8500,5499
华为官方旗舰店,Huawei/华为Mate30Pro,4604,5799
华为官方旗舰店,Huawei/华为nova5,1549,2599
三际数码官方旗舰店,Huawei/华为Mate30Mate30,266,3999
小米官方旗舰店,红米note84800,20000,899
中国移动官方旗舰店,Huawei/华为Mate20,236,2699
中国移动官方旗舰店,Apple/苹果iPhone11Pro,108,8258
三际数码官方旗舰店,红米K20pro,823,2499
oppo官方旗舰店,OPPOA91,279,1999
oppo官方旗舰店,OPPOA11,2138,1299
广东电信亿品汇专卖店,honor/荣耀20i,3529,999
蓝港数码专营店,Huawei/华为nova5iPro9x,731,1799
蓝港数码专营店,Huawei/华为Nova6SE,457,1799
京合旗舰店,Huawei/华为nova5iPro,811,1799
博盛景数码专营店,Apple/苹果iPhone11,30,5048
能良数码官方旗舰店,vivoX30Pro5g,214,3998
壹加陆时尚女装,Apple/苹果iPhoneX,1894,2728
卓瓦数码专营店,Apple/苹果iPhoneXR,98,4298
白领衣族01,Apple/苹果iPhoneXR,1387,2800
晨曦爱森林浴,Apple/苹果iPhone7Plus,8000,1650
碧丽丝轩衣阁,Apple/苹果iPhone11ProMax,344,4650
雄达数码2009,Apple/苹果iPhone8Plus,756,2200
zhoujinchun1124,Apple/苹果iPhone7Plus,5000,1580
vivo航鹰专卖店,vivoX30Pro5G,286,3998
中国电信官方旗舰店,Apple/苹果,67,4399
京合旗舰店,honor/荣耀V30pro5G,262,3899
会耍赖的猫888,Apple/苹果iPhone7Plus,5500,1500
旭远数码专营店,Huawei/华为nova5Pro6,225,2499
中国移动手机官方旗舰店,Apple/苹果iPhoneXR,50,4299
华为莫问专卖店,Huawei/华为Mate20Pro,148,2699
一朵花的记忆,Xiaomi/小米8,245,729
同迅数码专营店,honor/荣耀10,10,999
muyudemen,Apple/苹果iPhoneXRiphonexr,235,2465
中国移动手机官方旗舰店,Apple/苹果iPhoneXR,50,4299
华为莫问专卖店,Huawei/华为Mate20Pro,148,2699
久汇数码专营店,红米note8pro,689,999
光头先僧,Apple/苹果iPhone11ProMax,962,3558
桐庐丽影贸易有限公司,Apple/苹果iPhone8Plus,3351,2100
小瓜子韩版女装,Apple/苹果iPhoneXR,117,2600
vivo衡视专卖店,vivoZ5,425,1398
高远数码旗舰店,Apple/苹果iPhone11,27,5199
vivo衡视专卖店,vivoNEX35G,102,4998
vivo官方旗舰店,vivoX27,1673,2498
vivo官方旗舰店,vivoY9s,533,1998
华为官方旗舰店,Huawei/华为nova5z,10000,1599
