store,name,sales,price
疆界互联旗舰店,荣耀play3 64G,1514,799
疆界互联旗舰店,红米Note8pro6400 256G,56,1648
疆界互联旗舰店,红米Note8pro6400 64G,54,1238
疆界互联旗舰店,红米K30 256G,7,2199
疆界互联旗舰店,红米Note8pro6400 64G,204,1238
疆界互联旗舰店,荣耀Note10 128G,3042,1449
小米京东自营旗舰店,红米K20pro 64G,17804,2099
疆界互联旗舰店,红米K30 256G,30,2199
疆界互联旗舰店,荣耀play3 64G,56,1099
疆界互联旗舰店,荣耀play3 128G,0,1299
疆界互联旗舰店,荣耀play3 64G,26,1099
疆界互联旗舰店,荣耀play3 64G,94,1099
疆界互联旗舰店,红米Note8pro6400 256G,71,1648
疆界互联旗舰店,红米Note8pro6400 256G,142,1636
疆界互联旗舰店,荣耀Note10 64G,40,1399
小米京东自营旗舰店,红米K20pro 128G,3258,2199
疆界互联旗舰店,荣耀Note10 128G,1244,1449
疆界互联旗舰店,荣耀play3 128G,29,1299
疆界互联旗舰店,荣耀play3 64G,0,899
疆界互联旗舰店,荣耀play3 128G,28,1299
疆界互联旗舰店,荣耀play3 128G,52,1299
小米京东自营旗舰店,红米K20pro 128G,4833,2499
疆界互联旗舰店,荣耀Note10 64G,0,1999
疆界互联旗舰店,荣耀play3 64G,2,899
疆界互联旗舰店,荣耀play3 64G,0,1099
疆界互联旗舰店,荣耀play3 64G,3,899
疆界互联旗舰店,荣耀play3 64G,2,899
小米京东自营旗舰店,红米K20pro 256G,7853,2399
疆界互联旗舰店,荣耀play3 64G,0,1099
疆界互联旗舰店,荣耀play3 64G,0,1099
疆界互联旗舰店,荣耀play3 64G,0,899
vivo耀诚鑫专卖店,vivoiQOOPro5G 128G,57,3598
vivo耀诚鑫专卖店,vivoiQOOPro5G 128G,76,3598
vivo耀诚鑫专卖店,vivoiQOOPro5G 128G,104,3498
vivo耀诚鑫专卖店,vivoiQOOPro5G 128G,276,3498
vivo耀诚鑫专卖店,vivoiQOOPro5G 128G,574,3498
vivo耀诚鑫专卖店,vivoiQOOPro5G 128G,208,3898
vivo耀诚鑫专卖店,vivoiQOOPro5G 128G,197,3898
vivo耀诚鑫专卖店,vivoiQOOPro5G 128G,332,3798
vivo耀诚鑫专卖店,vivoiQOOPro5G 128G,582,3798
vivo耀诚鑫专卖店,vivoiQOOPro5G 128G,1023,3798
vivo耀诚鑫专卖店,vivoiQOOPro5G 256G,31,3798
vivo耀诚鑫专卖店,vivoiQOOPro5G 256G,19,3798
vivo耀诚鑫专卖店,vivoiQOOPro5G 256G,29,3698
vivo耀诚鑫专卖店,vivoiQOOPro5G 256G,49,3698
