store,name,sales,price
oksj数码旗舰店,Apple/苹果iPhone11,133,"5388.00
"
能良数码官方旗舰店,OPPOReno3Proopporeno3pro5g,189,"3999.00
"
晨曦爱森林浴,Apple/苹果iPhoneX,1409,"2170.00
"
博海宇通数码专营店,Huawei/华为畅享9,5000,"749.00
"
realme官方旗舰店,realme真我X2Pro256G,139,"2999.00
"
sayhay自营店,Apple/苹果iPhone11ProMax,1537,"3530.00
"
电子世界show,Apple/苹果iPhone8Plus,809,"2130.00
"
博盛景数码专营店,Apple/苹果iPhoneXSMaxiPhonexsmax12,122,"5999.00
"
时尚华尔,Apple/苹果iPhone11ProMax,345,"3488.00
"
时尚麻豆家企业店铺,Apple/苹果iPhone8Plus,5000,"2400.00
"
realme官方旗舰店,realme真我Q,3061,"948.00
"
中华淘购网店,Apple/苹果iPhone11ProMax,839,"3498.65
"
陶开红,Apple/苹果iPhoneXR,184,"3470.00
"
子轩_果果,Apple/苹果iPhoneXSMax,4354,"3280.00
"
魅族官方旗舰店,Meizu/魅族16thPlus,610,"1798.00
"
时尚名媛品牌店,Apple/苹果iPhoneX,2494,"2228.00
"
唯美气质淑女日韩馆,Apple/苹果iPhone7Plus,10000,"1800.00
"
博盛景数码专营店,Apple/苹果iPhone11Pro,83,"8058.00
"
vivo官方旗舰店,vivoiQOOPro,1787,"2898.00
"
vivo官方旗舰店,vivoZ5,10000,"1398.00
"
华为官方旗舰店,Huawei/华为Mate30,10000,"3999.00
"
苏宁易购官方旗舰店,Apple/苹果iPhone11ProMax,4047,"9599.00
"
苏宁易购官方旗舰店,Huawei/华为P30Pro,2489,"4488.00
"
华为官方旗舰店,Huawei/华为nova5i,3782,"1799.00
"
中国移动官方旗舰店,honor/荣耀20PRO,328,"2699.00
"
oppo官方旗舰店,OPPOReno2,1276,"2999.00
"
oppo官方旗舰店,OPPOA91,279,"1999.00
"
京合旗舰店,honor/荣耀荣耀20,2256,"1099.00
"
蓝港数码专营店,Huawei/华为nova65G,274,"3199.00
"
能良数码官方旗舰店,Huawei/华为Nova65G,244,"3199.00
"
京合旗舰店,Huawei/华为畅享10plus,3267,"1199.00
"
博盛景数码专营店,Apple/苹果iPhone11Pro,83,"8058.00
"
彩虹色的蜻蜓,Apple/苹果iPhoneXR,2927,"2128.50
"
华为莫问专卖店,Huawei/华为nova65G,377,"3199.00
"
因尔科技,Apple/苹果iPhoneX,963,"2100.00
"
zhongweixin8250,Apple/苹果iPhone8Plus4G,4504,"2200.00
"
佳欣共创科技,Apple/苹果iPhone11ProMax,1974,"4699.00
"
heatlinda,honor/荣耀荣耀V30Pro5Gv30,1135,"2998.00
"
liubingtuan,Apple/苹果iPhoneXRiphonexr,3962,"2780.00
"
深圳梦幻公主服饰,Apple/苹果iPhoneX,3679,"3415.50
"
领域数码通讯,Apple/苹果iPhone11ProMax,1233,"3565.00
"
新平通讯,Apple/苹果iPhoneXSMax,1776,"3380.00
"
同步飞扬数码专营店,Huawei/华为nova65G,626,"3199.00
"
潮流3号线,Apple/苹果iPhoneX,1560,"2290.00
"
oppo平实专卖店,OPPORenoAceopporenoace,1264,"2999.00
"
周宏亮,Apple/苹果iPhone11Pro,3438,"3787.00
"
vivo衡视专卖店,vivoX30Pro5G,427,"3998.00
"
俞小wen,Apple/苹果iPhoneX,3029,"3350.00
"
tb9173203_00,Apple/苹果iPhone8Plus,4362,"2000.00
"
翼天下天翼电信旗舰店,Apple/苹果iPhoneXR,31,"4399.00
"
能良数码官方旗舰店,红米K30,1014,"1599.00
"
vivo航鹰专卖店,vivoiQOONeo855,353,"2198.00
"
ysdee9,Apple/苹果iPhoneXR,357,"3430.00
"
adfkfilemon,Apple/苹果iPhone8Plus,4342,"2130.00
"
wezebaba,honor/荣耀荣耀V30Pro5Gv30,1060,"2998.00
"
vivo官方旗舰店,vivoX30Pro,3553,"3998.00
"
vivo官方旗舰店,vivoNEX35G,1160,"5698.00
"
京合旗舰店,honor/荣耀荣耀20,2256,"1099.00
"
玩风数码专营店,红米,20,"539.00
"
苏宁易购官方旗舰店,Apple/苹果iPhone11,8500,"5499.00
"
华为官方旗舰店,Huawei/华为Mate30Pro,4604,"5799.00
"
华为官方旗舰店,Huawei/华为nova5,1549,"2599.00
"
三际数码官方旗舰店,Huawei/华为Mate30Mate30,266,"3999.00
"
小米官方旗舰店,红米note84800,20000,"899.00
"
中国移动官方旗舰店,Huawei/华为Mate20,236,"2699.00
"
中国移动官方旗舰店,Apple/苹果iPhone11Pro,108,"8258.00
"
三际数码官方旗舰店,红米K20pro,823,"2499.00
"
